course_label,category,note
1 Month Sri Sri Yoga Challenge Classes,Sri Sri Yoga,
1 Year Sri Sri Yoga Challenge Classes,Sri Sri Yoga,
10 Day Online TTP SSNF & SSHG,,
1Day RPL,,
200H Yoga Teacher Training Course,Sri Sri Yoga,
200H – YOGA TEACHER TRAINING COURSE + Preparation for AYUSH YCB,Sri Sri Yoga,
3 Days Part I Course,HP,
3 Days YES+,YES+,
3 Month Sri Sri Yoga Challenge Classes,Sri Sri Yoga,
300H -Yoga Teacher Training Course +Preparation for AYUSH YCB,Sri Sri Yoga,
300H Yoga Teacher Training Course,Sri Sri Yoga,
350 HR – QCI YOGA TEACHERS’ TRAINING PROGRAM,Sri Sri Yoga,
6 Month Sri Sri Yoga Challenge Classes,Sri Sri Yoga,
AJ TTP,,
AMP - 10 Days,AMP,
AMP - 5 Days,AMP,
AMP - 7 Days,AMP,
AMP - Intensive,AMP,
AMP - Rural,AMP,
AMP 4 Days,AMP,
AMP BusyBee,AMP,
AOL Programs Legacy Data,,
APEX,,
APEX 1,,
APEX BASIC,,
APEX Mind Matters,,
APEX YOGA,,
Advanced Meditation Program for Government Employees,AMP,
Agri Clinic Agri Business Training,,
Agriculture Part-1,,
Agriculture Teachers Training Program,,
Agriculture Teachers Training Program - Phase-1,,
Agriculture Teachers Training Program - Phase-2,,
Agriculture Volunteer Program,,
Ancient wisdom,,
Art Excel,UY/MY/IP,
Art of Living Mediation Program TTP,,
Ayur Jagruti,,
BCPE Core,,
BCPE Sahaj,Sahaj,
BCPE Yoga,,
Bal Chetna Shibir Orientation,,
Blessing Course,Blessing,
Body Matters,,
Breath and Yoga,,
Children CCP in schools - Immunity Boost And Prevention,,
Children Yoga Teacher Training Course,Sri Sri Yoga,
Children’s Covid Care Program - Covid +ve in Home Isolation,,
Children’s Covid Care Program - Immunity Boost & Prevention,,
Children’s Covid Care Program - Post Covid rehabilitation,,
Cognitive Yoga,,
Comfort Zone to Courage Zone Yoga and Meditation,,
Corporate Programs part 2,AMP,
Corporate Yoga Trainers Meet (CTM),,
Covid Recovery Program - Meditation,,
DEEP DIVE,,
DM,,
